Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions
"AMPA Escola Mestre Enric Gibert i Camins ""A""",AMPA Escola Mestre Enric Gibert i Camins,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Escola Bogatell (FPC CET 10) ""A""",Escola Bogatell (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,3,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
"Escola de Futbol Sala APC Raval (AECV) ""A""",Escola de Futbol Sala APC Raval (AECV),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,FUTBOL 5,ALEVÍ,MIXT,Dissabte,10:00 h,
"Escola de Futbol Sala APC Raval (AECV) ""B""",Escola de Futbol Sala APC Raval (AECV),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,FUTBOL 5,ALEVÍ,MIXT,Dissabte,11:00 h,
EE Pegaso-Viana,7 d'Aventura,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,1,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,3,FUTBOL 5,ALEVÍ,MIXT,Dissabte,10:30 h,
"AMPA Escola Pere Vila ""E""",AMPA Escola Pere Vila,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Club Esportiu Fabra i Coats ""C""",Club Esportiu Fabra i Coats,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,3,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Escola Garbí ""A""",Escola Garbí,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"IE Tres Fonts de Les Corts (Valors IPP) ""A""",IE Tres Fonts de Les Corts (Valors IPP),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Dominiques Barcelona ""Verd""",Dominiques Barcelona,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Dominiques Barcelona ""Negre""",Dominiques Barcelona,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,7,FUTBOL 5,ALEVÍ,MIXT,Dissabte,11:00 h,
"Màgic Sants Futsal ""A""",Màgic Sants Futsal,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,5,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
"FEDAC Sant Andreu CEFIC ""A""",FEDAC Sant Andreu CEFIC,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,3,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Aula Escola Europea ""A""",Aula Escola Europea,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,FUTBOL 5,ALEVÍ,MIXT,Dissabte,11:00 h,
"Escola Brasil (FPC CET 10) ""A""",Escola Brasil (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:00 h,
"Escola La Farigola del Clot (FPC CET 10) ""A""",Escola La Farigola del Clot (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,FUTBOL 5,ALEVÍ,MIXT,Dissabte,10:30 h,
FS Manyanet Les Corts,Futbol Sala Manyanet Les Corts,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:15 h,
"Escola Concepcion Arenal (FPC CET 10) ""A""",Escola Concepcion Arenal (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Indiferent,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),FUTBOL 5 BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,1,FUTBOL 5,BENJAMÍ,FEMENÍ,Divendres,18:00 h,
"Escola Pia Sant Miquel ""V""",Escola Pia Sant Miquel,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,FUTBOL 5,BENJAMÍ,MIXT,Divendres,19:00 h,
"Escola Pia Sant Miquel ""N""",Escola Pia Sant Miquel,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,FUTBOL 5,BENJAMÍ,MIXT,Divendres,19:00 h,
