Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
"EFS Vesuvi ""A""",Trinitat Unió Esportiva,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,18:40 h,
"Club Joventut Les Corts ""A""",Club Joventut Les Corts,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,Casa,Dissabte,09:00 h,
"CE La Salle Gracia ""Groc""",CE La Salle Gracia,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,18:30 h,
"CE La Salle Gracia ""Negre""",CE La Salle Gracia,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,18:30 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,1,Dissabte,10:00 h,
"OAK House British School ""A""",OAK House British School,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,18:00 h,LLIGA DELS DIVENDRES
"OAK House British School ""B""",OAK House British School,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,18:00 h,lLLIGA DELS DIVENDRES
"AF Sant Antoni Futsal ""A""",AF Sant Antoni Futsal,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:15 h,
Escola Tabor (CEM Sagrada Familia),Escola Tabor (CEM Sagrada Familia),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,09:00 h,
Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:30 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,11:30 h,
EVEREST Prosperitat P,Escola de Futbol Sala Prosperitat,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,,Dissabte,11:00 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"Jesuïtes Casp ""A""",Jesuïtes Casp,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,3,Dissabte,11:15 h,
"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:15 h,
"Escola Pràctiques (AE L'Eixample) ""A""",Escola Pràctiques (AE L'Eixample),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,19:30 h,
